"","year","state","county","category","type","rate","unit","age","race","gender","fips","income"
"44","2017","GA","bacon","Cardiovascular Diseases","All stroke",30.6,"per 100,000","Ages 35-64 years","Overall","Overall","13005",31245
"45","2016","GA","bacon","Cardiovascular Diseases","All stroke",29.8,"per 100,000","Ages 35-64 years","Overall","Overall","13005",29881
"46","2015","GA","bacon","Cardiovascular Diseases","All stroke",30,"per 100,000","Ages 35-64 years","Overall","Overall","13005",29371
"47","2011","GA","bacon","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall","13005",26449
"48","2018","GA","bacon","Cardiovascular Diseases","All stroke",29.9,"per 100,000","Ages 35-64 years","Overall","Overall","13005",31278
"49","2012","GA","bacon","Cardiovascular Diseases","All stroke",26.5,"per 100,000","Ages 35-64 years","Overall","Overall","13005",26642
"50","2010","GA","bacon","Cardiovascular Diseases","All stroke",26.8,"per 100,000","Ages 35-64 years","Overall","Overall","13005",24486
"51","2016","GA","bacon","Cardiovascular Diseases","All stroke",332.4,"per 100,000","Ages 65 years and older","Overall","Overall","13005",29881
"52","2014","GA","bacon","Cardiovascular Diseases","All stroke",355.7,"per 100,000","Ages 65 years and older","Overall","Overall","13005",28123
"53","2015","GA","bacon","Cardiovascular Diseases","All stroke",354,"per 100,000","Ages 65 years and older","Overall","Overall","13005",29371
"54","2017","GA","bacon","Cardiovascular Diseases","All stroke",327.1,"per 100,000","Ages 65 years and older","Overall","Overall","13005",31245
"55","2019","GA","bacon","Cardiovascular Diseases","All stroke",300.5,"per 100,000","Ages 65 years and older","Overall","Overall","13005",32699
"56","2018","GA","bacon","Cardiovascular Diseases","All stroke",322,"per 100,000","Ages 65 years and older","Overall","Overall","13005",31278
"57","2013","GA","bacon","Cardiovascular Diseases","All stroke",318.9,"per 100,000","Ages 65 years and older","Overall","Overall","13005",27073
"58","2011","GA","bacon","Cardiovascular Diseases","All stroke",342.4,"per 100,000","Ages 65 years and older","Overall","Overall","13005",26449
"59","2010","GA","bacon","Cardiovascular Diseases","All stroke",359.6,"per 100,000","Ages 65 years and older","Overall","Overall","13005",24486
"60","2012","GA","bacon","Cardiovascular Diseases","All stroke",322.2,"per 100,000","Ages 65 years and older","Overall","Overall","13005",26642
"61","2013","GA","baker","Cardiovascular Diseases","All stroke",29.2,"per 100,000","Ages 35-64 years","Overall","Overall","13007",37986
"62","2014","GA","baker","Cardiovascular Diseases","All stroke",28.9,"per 100,000","Ages 35-64 years","Overall","Overall","13007",33768
"63","2019","GA","baker","Cardiovascular Diseases","All stroke",27.8,"per 100,000","Ages 35-64 years","Overall","Overall","13007",41675
"64","2017","GA","baker","Cardiovascular Diseases","All stroke",28.1,"per 100,000","Ages 35-64 years","Overall","Overall","13007",34556
"65","2016","GA","baker","Cardiovascular Diseases","All stroke",27.6,"per 100,000","Ages 35-64 years","Overall","Overall","13007",35498
"66","2015","GA","baker","Cardiovascular Diseases","All stroke",31,"per 100,000","Ages 35-64 years","Overall","Overall","13007",34292
"67","2011","GA","baker","Cardiovascular Diseases","All stroke",31,"per 100,000","Ages 35-64 years","Overall","Overall","13007",36013
"68","2018","GA","baker","Cardiovascular Diseases","All stroke",28.6,"per 100,000","Ages 35-64 years","Overall","Overall","13007",36529
"69","2012","GA","baker","Cardiovascular Diseases","All stroke",32,"per 100,000","Ages 35-64 years","Overall","Overall","13007",37880
"70","2010","GA","baker","Cardiovascular Diseases","All stroke",32.5,"per 100,000","Ages 35-64 years","Overall","Overall","13007",30186
"71","2016","GA","baker","Cardiovascular Diseases","All stroke",310.7,"per 100,000","Ages 65 years and older","Overall","Overall","13007",35498
"72","2014","GA","baker","Cardiovascular Diseases","All stroke",321.1,"per 100,000","Ages 65 years and older","Overall","Overall","13007",33768
"73","2015","GA","baker","Cardiovascular Diseases","All stroke",316.9,"per 100,000","Ages 65 years and older","Overall","Overall","13007",34292
"74","2017","GA","baker","Cardiovascular Diseases","All stroke",299.4,"per 100,000","Ages 65 years and older","Overall","Overall","13007",34556
"75","2019","GA","baker","Cardiovascular Diseases","All stroke",301.5,"per 100,000","Ages 65 years and older","Overall","Overall","13007",41675
"76","2018","GA","baker","Cardiovascular Diseases","All stroke",310.1,"per 100,000","Ages 65 years and older","Overall","Overall","13007",36529
"77","2013","GA","baker","Cardiovascular Diseases","All stroke",320,"per 100,000","Ages 65 years and older","Overall","Overall","13007",37986
"78","2011","GA","baker","Cardiovascular Diseases","All stroke",331,"per 100,000","Ages 65 years and older","Overall","Overall","13007",36013
"79","2010","GA","baker","Cardiovascular Diseases","All stroke",359,"per 100,000","Ages 65 years and older","Overall","Overall","13007",30186
"80","2012","GA","baker","Cardiovascular Diseases","All stroke",330.2,"per 100,000","Ages 65 years and older","Overall","Overall","13007",37880
"81","2013","GA","baldwin","Cardiovascular Diseases","All stroke",21.9,"per 100,000","Ages 35-64 years","Overall","Overall","13009",28052
"82","2014","GA","baldwin","Cardiovascular Diseases","All stroke",23.7,"per 100,000","Ages 35-64 years","Overall","Overall","13009",29696
"83","2019","GA","baldwin","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13009",34954
"84","2017","GA","baldwin","Cardiovascular Diseases","All stroke",25.3,"per 100,000","Ages 35-64 years","Overall","Overall","13009",32560
"85","2016","GA","baldwin","Cardiovascular Diseases","All stroke",24.5,"per 100,000","Ages 35-64 years","Overall","Overall","13009",31151
"86","2015","GA","baldwin","Cardiovascular Diseases","All stroke",25.1,"per 100,000","Ages 35-64 years","Overall","Overall","13009",30658
"87","2011","GA","baldwin","Cardiovascular Diseases","All stroke",22.4,"per 100,000","Ages 35-64 years","Overall","Overall","13009",27935
"88","2018","GA","baldwin","Cardiovascular Diseases","All stroke",25.3,"per 100,000","Ages 35-64 years","Overall","Overall","13009",33261
"89","2012","GA","baldwin","Cardiovascular Diseases","All stroke",22,"per 100,000","Ages 35-64 years","Overall","Overall","13009",27702
"90","2010","GA","baldwin","Cardiovascular Diseases","All stroke",24.2,"per 100,000","Ages 35-64 years","Overall","Overall","13009",26645
"91","2016","GA","baldwin","Cardiovascular Diseases","All stroke",307.3,"per 100,000","Ages 65 years and older","Overall","Overall","13009",31151
"92","2014","GA","baldwin","Cardiovascular Diseases","All stroke",325.8,"per 100,000","Ages 65 years and older","Overall","Overall","13009",29696
"93","2015","GA","baldwin","Cardiovascular Diseases","All stroke",338.6,"per 100,000","Ages 65 years and older","Overall","Overall","13009",30658
"94","2017","GA","baldwin","Cardiovascular Diseases","All stroke",307.5,"per 100,000","Ages 65 years and older","Overall","Overall","13009",32560
"95","2019","GA","baldwin","Cardiovascular Diseases","All stroke",291.8,"per 100,000","Ages 65 years and older","Overall","Overall","13009",34954
"96","2018","GA","baldwin","Cardiovascular Diseases","All stroke",311.4,"per 100,000","Ages 65 years and older","Overall","Overall","13009",33261
"97","2013","GA","baldwin","Cardiovascular Diseases","All stroke",319.2,"per 100,000","Ages 65 years and older","Overall","Overall","13009",28052
"98","2011","GA","baldwin","Cardiovascular Diseases","All stroke",344,"per 100,000","Ages 65 years and older","Overall","Overall","13009",27935
"99","2010","GA","baldwin","Cardiovascular Diseases","All stroke",374.8,"per 100,000","Ages 65 years and older","Overall","Overall","13009",26645
"100","2012","GA","baldwin","Cardiovascular Diseases","All stroke",326.7,"per 100,000","Ages 65 years and older","Overall","Overall","13009",27702
"101","2013","GA","banks","Cardiovascular Diseases","All stroke",17.8,"per 100,000","Ages 35-64 years","Overall","Overall","13011",29908
"102","2014","GA","banks","Cardiovascular Diseases","All stroke",20.2,"per 100,000","Ages 35-64 years","Overall","Overall","13011",31820
"103","2019","GA","banks","Cardiovascular Diseases","All stroke",19.4,"per 100,000","Ages 35-64 years","Overall","Overall","13011",38328
"104","2017","GA","banks","Cardiovascular Diseases","All stroke",19.7,"per 100,000","Ages 35-64 years","Overall","Overall","13011",36942
"105","2016","GA","banks","Cardiovascular Diseases","All stroke",20.7,"per 100,000","Ages 35-64 years","Overall","Overall","13011",34365
"106","2015","GA","banks","Cardiovascular Diseases","All stroke",20.2,"per 100,000","Ages 35-64 years","Overall","Overall","13011",33769
"107","2011","GA","banks","Cardiovascular Diseases","All stroke",18,"per 100,000","Ages 35-64 years","Overall","Overall","13011",26342
"108","2018","GA","banks","Cardiovascular Diseases","All stroke",19.3,"per 100,000","Ages 35-64 years","Overall","Overall","13011",37899
"109","2012","GA","banks","Cardiovascular Diseases","All stroke",17.7,"per 100,000","Ages 35-64 years","Overall","Overall","13011",29307
"110","2010","GA","banks","Cardiovascular Diseases","All stroke",18.8,"per 100,000","Ages 35-64 years","Overall","Overall","13011",25872
"111","2016","GA","banks","Cardiovascular Diseases","All stroke",311.1,"per 100,000","Ages 65 years and older","Overall","Overall","13011",34365
"112","2014","GA","banks","Cardiovascular Diseases","All stroke",293.8,"per 100,000","Ages 65 years and older","Overall","Overall","13011",31820
"113","2015","GA","banks","Cardiovascular Diseases","All stroke",319.8,"per 100,000","Ages 65 years and older","Overall","Overall","13011",33769
"114","2017","GA","banks","Cardiovascular Diseases","All stroke",314.2,"per 100,000","Ages 65 years and older","Overall","Overall","13011",36942
"115","2019","GA","banks","Cardiovascular Diseases","All stroke",285.6,"per 100,000","Ages 65 years and older","Overall","Overall","13011",38328
"116","2018","GA","banks","Cardiovascular Diseases","All stroke",313,"per 100,000","Ages 65 years and older","Overall","Overall","13011",37899
"117","2013","GA","banks","Cardiovascular Diseases","All stroke",277.3,"per 100,000","Ages 65 years and older","Overall","Overall","13011",29908
"118","2011","GA","banks","Cardiovascular Diseases","All stroke",300.2,"per 100,000","Ages 65 years and older","Overall","Overall","13011",26342
"119","2010","GA","banks","Cardiovascular Diseases","All stroke",303.2,"per 100,000","Ages 65 years and older","Overall","Overall","13011",25872
"120","2012","GA","banks","Cardiovascular Diseases","All stroke",287.1,"per 100,000","Ages 65 years and older","Overall","Overall","13011",29307
"121","2013","GA","barrow","Cardiovascular Diseases","All stroke",16.8,"per 100,000","Ages 35-64 years","Overall","Overall","13013",31026
"122","2014","GA","barrow","Cardiovascular Diseases","All stroke",18.8,"per 100,000","Ages 35-64 years","Overall","Overall","13013",32808
"123","2019","GA","barrow","Cardiovascular Diseases","All stroke",18.9,"per 100,000","Ages 35-64 years","Overall","Overall","13013",38623
"124","2017","GA","barrow","Cardiovascular Diseases","All stroke",18.9,"per 100,000","Ages 35-64 years","Overall","Overall","13013",36232
"125","2016","GA","barrow","Cardiovascular Diseases","All stroke",18.9,"per 100,000","Ages 35-64 years","Overall","Overall","13013",34761
"126","2015","GA","barrow","Cardiovascular Diseases","All stroke",19.1,"per 100,000","Ages 35-64 years","Overall","Overall","13013",34115
"127","2011","GA","barrow","Cardiovascular Diseases","All stroke",16.8,"per 100,000","Ages 35-64 years","Overall","Overall","13013",28583
"128","2018","GA","barrow","Cardiovascular Diseases","All stroke",19.5,"per 100,000","Ages 35-64 years","Overall","Overall","13013",37215
"129","2012","GA","barrow","Cardiovascular Diseases","All stroke",16.8,"per 100,000","Ages 35-64 years","Overall","Overall","13013",30138
"130","2010","GA","barrow","Cardiovascular Diseases","All stroke",17.5,"per 100,000","Ages 35-64 years","Overall","Overall","13013",26744
"131","2016","GA","barrow","Cardiovascular Diseases","All stroke",297.1,"per 100,000","Ages 65 years and older","Overall","Overall","13013",34761
"132","2014","GA","barrow","Cardiovascular Diseases","All stroke",285,"per 100,000","Ages 65 years and older","Overall","Overall","13013",32808
"133","2015","GA","barrow","Cardiovascular Diseases","All stroke",309.4,"per 100,000","Ages 65 years and older","Overall","Overall","13013",34115
"134","2017","GA","barrow","Cardiovascular Diseases","All stroke",300.7,"per 100,000","Ages 65 years and older","Overall","Overall","13013",36232
"135","2019","GA","barrow","Cardiovascular Diseases","All stroke",295.2,"per 100,000","Ages 65 years and older","Overall","Overall","13013",38623
"136","2018","GA","barrow","Cardiovascular Diseases","All stroke",307.9,"per 100,000","Ages 65 years and older","Overall","Overall","13013",37215
"137","2013","GA","barrow","Cardiovascular Diseases","All stroke",270,"per 100,000","Ages 65 years and older","Overall","Overall","13013",31026
"138","2011","GA","barrow","Cardiovascular Diseases","All stroke",279.8,"per 100,000","Ages 65 years and older","Overall","Overall","13013",28583
"139","2010","GA","barrow","Cardiovascular Diseases","All stroke",295.3,"per 100,000","Ages 65 years and older","Overall","Overall","13013",26744
"140","2012","GA","barrow","Cardiovascular Diseases","All stroke",272.1,"per 100,000","Ages 65 years and older","Overall","Overall","13013",30138
"141","2013","GA","bartow","Cardiovascular Diseases","All stroke",18.9,"per 100,000","Ages 35-64 years","Overall","Overall","13015",31632
"142","2014","GA","bartow","Cardiovascular Diseases","All stroke",19.7,"per 100,000","Ages 35-64 years","Overall","Overall","13015",33610
"143","2019","GA","bartow","Cardiovascular Diseases","All stroke",18.4,"per 100,000","Ages 35-64 years","Overall","Overall","13015",40386
"144","2017","GA","bartow","Cardiovascular Diseases","All stroke",19.6,"per 100,000","Ages 35-64 years","Overall","Overall","13015",37035
"145","2016","GA","bartow","Cardiovascular Diseases","All stroke",21.5,"per 100,000","Ages 35-64 years","Overall","Overall","13015",36148
"146","2015","GA","bartow","Cardiovascular Diseases","All stroke",20.1,"per 100,000","Ages 35-64 years","Overall","Overall","13015",35017
"147","2011","GA","bartow","Cardiovascular Diseases","All stroke",20.4,"per 100,000","Ages 35-64 years","Overall","Overall","13015",30472
"148","2018","GA","bartow","Cardiovascular Diseases","All stroke",18.7,"per 100,000","Ages 35-64 years","Overall","Overall","13015",38322
"149","2012","GA","bartow","Cardiovascular Diseases","All stroke",19.4,"per 100,000","Ages 35-64 years","Overall","Overall","13015",31538
"150","2010","GA","bartow","Cardiovascular Diseases","All stroke",20.5,"per 100,000","Ages 35-64 years","Overall","Overall","13015",28560
"151","2016","GA","bartow","Cardiovascular Diseases","All stroke",342.9,"per 100,000","Ages 65 years and older","Overall","Overall","13015",36148
"152","2014","GA","bartow","Cardiovascular Diseases","All stroke",304.5,"per 100,000","Ages 65 years and older","Overall","Overall","13015",33610
"153","2015","GA","bartow","Cardiovascular Diseases","All stroke",324.1,"per 100,000","Ages 65 years and older","Overall","Overall","13015",35017
"154","2017","GA","bartow","Cardiovascular Diseases","All stroke",334,"per 100,000","Ages 65 years and older","Overall","Overall","13015",37035
"155","2019","GA","bartow","Cardiovascular Diseases","All stroke",301.8,"per 100,000","Ages 65 years and older","Overall","Overall","13015",40386
"156","2018","GA","bartow","Cardiovascular Diseases","All stroke",331.1,"per 100,000","Ages 65 years and older","Overall","Overall","13015",38322
"157","2013","GA","bartow","Cardiovascular Diseases","All stroke",306,"per 100,000","Ages 65 years and older","Overall","Overall","13015",31632
"158","2011","GA","bartow","Cardiovascular Diseases","All stroke",348.4,"per 100,000","Ages 65 years and older","Overall","Overall","13015",30472
"159","2010","GA","bartow","Cardiovascular Diseases","All stroke",360.8,"per 100,000","Ages 65 years and older","Overall","Overall","13015",28560
"160","2012","GA","bartow","Cardiovascular Diseases","All stroke",318.7,"per 100,000","Ages 65 years and older","Overall","Overall","13015",31538
"161","2013","GA","ben hill","Cardiovascular Diseases","All stroke",27.6,"per 100,000","Ages 35-64 years","Overall","Overall",NA,27285
"162","2014","GA","ben hill","Cardiovascular Diseases","All stroke",28.8,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28123
"163","2019","GA","ben hill","Cardiovascular Diseases","All stroke",28.5,"per 100,000","Ages 35-64 years","Overall","Overall",NA,31711
"164","2017","GA","ben hill","Cardiovascular Diseases","All stroke",29.5,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28953
"165","2016","GA","ben hill","Cardiovascular Diseases","All stroke",29.2,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28576
"166","2015","GA","ben hill","Cardiovascular Diseases","All stroke",29.9,"per 100,000","Ages 35-64 years","Overall","Overall",NA,29547
"167","2011","GA","ben hill","Cardiovascular Diseases","All stroke",27.6,"per 100,000","Ages 35-64 years","Overall","Overall",NA,26991
"168","2018","GA","ben hill","Cardiovascular Diseases","All stroke",28.5,"per 100,000","Ages 35-64 years","Overall","Overall",NA,30465
"169","2012","GA","ben hill","Cardiovascular Diseases","All stroke",28.5,"per 100,000","Ages 35-64 years","Overall","Overall",NA,26237
"170","2010","GA","ben hill","Cardiovascular Diseases","All stroke",28.7,"per 100,000","Ages 35-64 years","Overall","Overall",NA,24583
"171","2012","GA","bibb","Cardiovascular Diseases","All stroke",32.5,"per 100,000","Ages 35-64 years","Overall","Overall","13021",34315
"172","2016","GA","ben hill","Cardiovascular Diseases","All stroke",336.9,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28576
"173","2014","GA","ben hill","Cardiovascular Diseases","All stroke",358.1,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28123
"174","2015","GA","ben hill","Cardiovascular Diseases","All stroke",356.8,"per 100,000","Ages 65 years and older","Overall","Overall",NA,29547
"175","2017","GA","ben hill","Cardiovascular Diseases","All stroke",331.6,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28953
"176","2019","GA","ben hill","Cardiovascular Diseases","All stroke",312.1,"per 100,000","Ages 65 years and older","Overall","Overall",NA,31711
"177","2018","GA","ben hill","Cardiovascular Diseases","All stroke",326.2,"per 100,000","Ages 65 years and older","Overall","Overall",NA,30465
"178","2013","GA","ben hill","Cardiovascular Diseases","All stroke",318.7,"per 100,000","Ages 65 years and older","Overall","Overall",NA,27285
"179","2011","GA","ben hill","Cardiovascular Diseases","All stroke",344.3,"per 100,000","Ages 65 years and older","Overall","Overall",NA,26991
"180","2010","GA","ben hill","Cardiovascular Diseases","All stroke",364.7,"per 100,000","Ages 65 years and older","Overall","Overall",NA,24583
"181","2012","GA","ben hill","Cardiovascular Diseases","All stroke",324.7,"per 100,000","Ages 65 years and older","Overall","Overall",NA,26237
"182","2010","GA","bibb","Cardiovascular Diseases","All stroke",35,"per 100,000","Ages 35-64 years","Overall","Overall","13021",33555
"183","2013","GA","berrien","Cardiovascular Diseases","All stroke",25.3,"per 100,000","Ages 35-64 years","Overall","Overall","13019",27486
"184","2014","GA","berrien","Cardiovascular Diseases","All stroke",26.7,"per 100,000","Ages 35-64 years","Overall","Overall","13019",27819
"185","2019","GA","berrien","Cardiovascular Diseases","All stroke",28.5,"per 100,000","Ages 35-64 years","Overall","Overall","13019",34454
"186","2017","GA","berrien","Cardiovascular Diseases","All stroke",29.3,"per 100,000","Ages 35-64 years","Overall","Overall","13019",32266
"187","2016","GA","berrien","Cardiovascular Diseases","All stroke",28.9,"per 100,000","Ages 35-64 years","Overall","Overall","13019",30507
"188","2015","GA","berrien","Cardiovascular Diseases","All stroke",29.2,"per 100,000","Ages 35-64 years","Overall","Overall","13019",30094
"189","2011","GA","berrien","Cardiovascular Diseases","All stroke",25.4,"per 100,000","Ages 35-64 years","Overall","Overall","13019",26706
"190","2018","GA","berrien","Cardiovascular Diseases","All stroke",29,"per 100,000","Ages 35-64 years","Overall","Overall","13019",32762
"191","2012","GA","berrien","Cardiovascular Diseases","All stroke",26.1,"per 100,000","Ages 35-64 years","Overall","Overall","13019",28115
"192","2010","GA","berrien","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall","13019",25280
"193","2016","GA","berrien","Cardiovascular Diseases","All stroke",324.1,"per 100,000","Ages 65 years and older","Overall","Overall","13019",30507
"194","2014","GA","berrien","Cardiovascular Diseases","All stroke",328.7,"per 100,000","Ages 65 years and older","Overall","Overall","13019",27819
"195","2015","GA","berrien","Cardiovascular Diseases","All stroke",335.9,"per 100,000","Ages 65 years and older","Overall","Overall","13019",30094
"196","2017","GA","berrien","Cardiovascular Diseases","All stroke",323,"per 100,000","Ages 65 years and older","Overall","Overall","13019",32266
"197","2019","GA","berrien","Cardiovascular Diseases","All stroke",313.7,"per 100,000","Ages 65 years and older","Overall","Overall","13019",34454
"198","2018","GA","berrien","Cardiovascular Diseases","All stroke",329.7,"per 100,000","Ages 65 years and older","Overall","Overall","13019",32762
"199","2013","GA","berrien","Cardiovascular Diseases","All stroke",296.8,"per 100,000","Ages 65 years and older","Overall","Overall","13019",27486
"200","2011","GA","berrien","Cardiovascular Diseases","All stroke",327.9,"per 100,000","Ages 65 years and older","Overall","Overall","13019",26706
"201","2010","GA","berrien","Cardiovascular Diseases","All stroke",352.4,"per 100,000","Ages 65 years and older","Overall","Overall","13019",25280
"202","2012","GA","berrien","Cardiovascular Diseases","All stroke",314.1,"per 100,000","Ages 65 years and older","Overall","Overall","13019",28115
"203","2013","GA","bibb","Cardiovascular Diseases","All stroke",33,"per 100,000","Ages 35-64 years","Overall","Overall","13021",34528
"204","2014","GA","bibb","Cardiovascular Diseases","All stroke",33.9,"per 100,000","Ages 35-64 years","Overall","Overall","13021",36125
"205","2019","GA","bibb","Cardiovascular Diseases","All stroke",29.7,"per 100,000","Ages 35-64 years","Overall","Overall","13021",40356
"206","2017","GA","bibb","Cardiovascular Diseases","All stroke",30.3,"per 100,000","Ages 35-64 years","Overall","Overall","13021",38694
"207","2016","GA","bibb","Cardiovascular Diseases","All stroke",31,"per 100,000","Ages 35-64 years","Overall","Overall","13021",37452
"208","2015","GA","bibb","Cardiovascular Diseases","All stroke",34.1,"per 100,000","Ages 35-64 years","Overall","Overall","13021",37160
"209","2011","GA","bibb","Cardiovascular Diseases","All stroke",33,"per 100,000","Ages 35-64 years","Overall","Overall","13021",34889
"210","2018","GA","bibb","Cardiovascular Diseases","All stroke",30.4,"per 100,000","Ages 35-64 years","Overall","Overall","13021",39502
"211","2016","GA","bibb","Cardiovascular Diseases","All stroke",313.5,"per 100,000","Ages 65 years and older","Overall","Overall","13021",37452
"212","2014","GA","bibb","Cardiovascular Diseases","All stroke",331,"per 100,000","Ages 65 years and older","Overall","Overall","13021",36125
"213","2015","GA","bibb","Cardiovascular Diseases","All stroke",337,"per 100,000","Ages 65 years and older","Overall","Overall","13021",37160
"214","2017","GA","bibb","Cardiovascular Diseases","All stroke",302.9,"per 100,000","Ages 65 years and older","Overall","Overall","13021",38694
"215","2019","GA","bibb","Cardiovascular Diseases","All stroke",290.7,"per 100,000","Ages 65 years and older","Overall","Overall","13021",40356
